Feature ID	KD001	KD002	KD003	KD004	KD005	KD006	KD007	KD008	KD009	KD010	KD011	KD012	KD013	KD014	KD015	KD016	KD017	KD018	KD019	KD020	KD021	KD022	KD023	KD024	KD025	KD026	KD027	KD028	KD029	KD030	KD031	KD032	KD033	KD034	KD035	KD036	KD037	KD038	KD039	KD040	KD041	KD042	KD043	KD044	KD045	KD046	KD047	KD048	KD049	KD050	KD051	KD052	KD053	KD054	KD055	KD056	KD057	KD058	KD059	KD060	KD061
aafb6ca6537c21f170ece1de474769ab	0	0	352	1272	468	460	332	259	57	0	0	0	0	0	0	0	0	0	555	0	0	0	0	38	36	0	0	1586	1409	4954	1993	258	597	492	1282	209	0	0	0	36	0	0	0	0	0	488	147	0	0	0	35	0	0	227	7249	6371	527	166	304	0	0
7b28c20e72c6c95b3e604f0849245770	0	0	83	0	0	51	870	1094	29	448	2727	304	2511	1874	245	6370	315	344	122	465	4	97	152	263	192	1192	222	1569	0	55	78	9	92	194	0	0	567	188	165	1240	230	640	269	850	265	21	586	17	0	43	0	82	17	356	116	17	0	30	1570	1329	0
020f48a69f9bf40e54fbac885f94695a	0	0	187	0	61	153	0	1867	36	333	3673	258	3351	1075	449	1961	114	0	31	623	0	70	81	471	727	988	267	1255	51	97	171	295	0	300	214	12	190	94	14	836	56	1299	16	745	86	22	1096	20	14	179	69	1456	107	1757	0	170	495	553	1129	705	0
a9b24370bdb02a8ee91855de7b8b2813	0	0	43	0	27	217	343	11728	0	373	937	61	843	1086	115	1416	125	102	0	174	0	89	0	134	258	711	0	1051	0	97	161	127	46	539	353	41	218	104	28	728	30	127	57	526	96	80	532	0	20	21	0	1114	0	741	142	610	433	228	883	588	0
9580aa8a52ec18a4e92e701cdb595faa	0	0	0	0	0	0	0	89	0	985	1462	305	4214	4715	915	4045	401	726	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	30	0	0	494	301	201	1403	174	757	508	1624	374	0	0	0	24	0	29	0	0	0	0	0	0	0	2483	1222	0
82b6b13c800633859b139cf0569b4cda	0	0	16	0	69	145	478	2035	28	0	1560	38	1510	1034	354	1795	52	0	78	897	0	0	323	580	440	249	298	2480	0	108	432	1033	134	647	734	64	327	91	28	613	81	191	76	328	153	483	449	49	0	268	0	2302	61	750	489	424	1353	232	556	645	0
940c5c7f5d291961c87dd25da8580e29	9	0	33	288	42	168	161	1698	0	263	1723	259	1914	1680	142	2438	175	263	22	448	0	0	139	308	331	207	199	1081	0	46	40	323	10	888	360	20	289	52	128	1082	138	550	112	530	133	561	1523	42	49	266	37	1240	0	1257	76	153	617	101	1224	1470	0
878fc53ff6f6333a92673b700951fa1b	0	0	0	0	0	0	0	0	0	1124	1418	475	2654	3169	1356	4909	500	551	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	980	434	0	644	395	576	0	2774	745	0	0	0	0	0	0	0	0	0	0	0	0	0	2019	2041	0
e4ef1c7b616eb842c0ff7a327e83bd76	0	0	0	0	0	23	0	165	0	814	1333	327	2005	2349	675	5838	235	0	0	148	0	0	36	0	0	0	0	278	0	36	0	0	0	13	0	0	790	482	219	2223	188	518	208	2431	296	13	66	0	0	0	0	247	0	0	0	0	10	9	2475	2498	0
8ae518dbb29595b3f79214be0b589066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	25	85	0	68	567	1504	0	401	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	34	0	0	0	433	0	408	262	0	296	366	2910	0	0	1100	53	0	160	16435
61d3681d1e82fd381aaa278aa83a82af	0	0	170	0	374	219	1249	452	0	0	0	0	0	0	0	0	0	0	726	0	0	156	0	276	85	0	110	2474	893	2747	811	740	643	351	1033	135	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	115	24	732	4447	5254	172	0	0	84	0
dd3f1d27af1be908d3c3fd143339aa9c	0	0	152	0	49	121	241	2395	43	131	623	65	649	682	199	1131	110	0	0	357	42	113	142	692	898	901	53	1939	0	253	50	105	271	702	188	0	117	138	0	377	85	110	65	597	148	196	1364	0	0	194	0	2622	76	1122	253	297	1032	409	847	349	0
fa01fa9371329c1526148b038d8d4b5b	0	0	102	0	0	188	282	2669	27	295	444	137	422	486	29	1436	0	0	80	887	0	0	671	642	981	754	338	2454	0	0	0	175	106	715	431	15	204	86	46	512	15	71	114	392	89	0	1781	18	0	259	36	2117	41	385	61	296	593	216	302	355	0
23bd044024010c3ba28e2542b98a22e1	0	0	79	0	7	0	0	0	0	84	897	188	3359	671	485	820	1637	1751	0	0	0	0	0	0	24	0	0	39	44	186	79	56	74	0	182	33	847	159	243	927	214	257	143	937	115	0	0	0	0	0	0	0	0	0	438	455	0	0	3580	1396	0
1dde417c45171347b0ec07088aa49839	0	0	59	259	127	421	0	1159	54	171	735	193	982	756	41	1237	0	0	53	572	0	244	277	717	876	133	131	1122	9	195	324	400	61	616	77	0	182	124	25	430	19	218	224	461	119	266	2502	0	29	179	45	772	17	221	0	128	438	97	1418	268	0
0ebb2cf4a2017aeaefadf9ae5062eb62	0	0	87	0	57	87	217	1929	0	306	707	133	929	743	109	1660	0	0	66	728	0	127	195	553	381	128	0	959	0	106	84	208	100	408	184	0	158	213	43	507	32	128	64	365	139	21	829	0	0	115	91	1859	59	1213	92	296	698	368	780	426	0
fb4f0a79b97d6f24e3040e8145b0a6e7	0	0	0	0	148	97	0	1733	0	92	1455	34	1381	748	122	1148	135	0	59	0	0	100	360	0	420	531	0	1147	86	100	0	773	268	496	95	0	100	94	98	534	101	238	113	191	76	58	986	0	0	171	69	1302	0	0	120	344	640	552	695	463	0
6c921e3ae0af506f54295d074ca071bc	0	41	23	0	38	162	635	1019	22	112	503	55	418	483	182	798	0	0	40	626	7	52	128	680	468	850	371	1675	0	273	0	45	219	436	125	19	101	33	19	287	15	115	44	476	39	250	1542	17	64	120	16	1027	0	748	416	686	575	476	492	192	0
06f825b512d903b9230e1a55d87359ee	0	0	229	289	31	88	0	184	12	28	80	34	57	29	0	131	0	0	210	0	0	199	129	898	411	6731	117	857	150	352	73	96	116	63	288	96	66	0	0	0	0	0	0	29	26	223	453	1228	131	228	0	909	18	705	649	213	234	73	719	72	0
cb8b8a6ee6bcfa115f8b24a45fa1c12a	0	0	10	92	21	126	260	1915	0	113	746	92	884	566	163	1096	162	0	106	580	26	286	186	51	951	126	421	1606	0	80	188	202	134	375	60	0	86	102	30	385	0	140	37	295	138	0	944	0	32	167	42	1115	16	817	167	172	314	361	319	314	0
8da18b476b64f6f053647455b6890f80	0	15	79	0	99	41	185	947	11	74	1064	105	1396	846	240	1803	60	62	10	60	0	97	46	718	580	705	215	1062	0	128	0	245	0	388	0	11	246	66	83	473	0	249	69	500	92	123	710	24	10	85	0	403	48	459	112	0	754	87	956	594	0
836cd5ea357ad392c00a7e48d921be1d	0	0	0	0	0	134	0	498	0	458	633	266	1323	1664	344	3585	156	187	0	175	17	0	40	0	0	0	92	328	0	11	0	427	112	123	0	0	465	188	53	837	87	312	111	1320	225	82	187	11	0	46	0	214	0	0	31	0	495	101	1321	631	0
0ad13b6d1cd98ad7e8f6ee9909d33114	0	0	0	0	0	97	307	1316	0	76	190	0	544	526	0	854	0	0	24	1005	19	0	147	1187	1112	0	244	1443	0	101	58	262	534	726	0	29	197	73	0	447	50	202	0	512	55	57	1149	0	49	127	30	1327	30	0	0	190	925	53	875	102	0
72e530a4206f2e4804d502f4dfca8387	0	0	0	0	11	146	533	1411	14	138	1385	0	1277	742	205	1404	0	0	15	307	0	172	42	89	632	206	93	618	0	88	38	393	38	265	293	0	96	115	20	417	179	340	24	355	67	33	619	0	19	108	0	1027	0	381	258	0	314	352	794	825	0
7d78ed99b08bd1723065fdd795d17e9c	0	0	44	0	98	50	297	203	0	30	0	0	26	76	0	38	0	0	112	0	0	0	0	0	124	0	222	402	244	304	100	0	266	160	142	19	0	0	0	202	0	29	0	45	0	128	265	37	62	0	0	137	0	1209	1018	2086	37	199	8460	0	0
b2ce7f937c4d1e391758282974fcf514	6	13	19	352	97	100	0	2195	0	25	996	0	853	526	117	722	64	0	0	172	0	63	276	738	236	0	182	1374	53	315	0	181	0	420	183	34	143	73	20	279	78	54	71	315	89	43	360	33	0	43	10	1522	70	830	107	378	558	344	737	250	0
3ccdc88a8737c3ac98bd0a40b1b93bf8	0	0	0	0	86	142	391	1656	16	126	123	121	407	654	0	991	0	0	59	497	0	177	76	287	839	0	169	2498	0	147	175	159	82	414	0	0	0	0	34	246	19	106	45	333	0	311	673	128	36	125	0	1558	45	0	48	192	1283	413	145	401	0
4e0763702795e6afb59e7d22281a0099	0	0	176	0	100	136	273	666	0	264	0	0	123	42	61	77	71	0	104	0	0	250	0	0	121	0	47	377	404	893	191	0	161	235	914	0	0	43	0	66	164	0	0	61	0	213	133	814	76	70	0	355	0	214	2047	2369	66	62	2946	341	0
df0e3d38eec730326754d8c17a8b8efe	0	0	0	0	13	67	417	933	50	263	1884	26	1314	539	195	646	142	0	0	425	0	87	173	60	886	0	82	650	0	365	0	185	197	634	667	24	126	89	41	239	83	294	9	92	140	0	789	0	24	57	0	887	44	166	0	309	254	167	698	130	0
4f983ab505c9e0936ecafdda621aead9	0	0	0	0	0	0	0	0	0	458	839	178	1022	1843	164	4241	209	0	0	0	0	9	0	0	0	0	0	9	17	0	0	0	15	15	0	0	436	162	83	1052	0	178	85	1024	142	0	0	0	0	0	0	0	11	0	0	0	0	0	1575	1242	0
5858157a5f3c4bdbc235927eae7ff303	0	0	12	0	43	0	807	471	11	245	576	43	900	711	49	1140	87	220	15	224	0	142	108	180	223	111	139	954	5	25	20	160	49	317	96	11	204	56	53	242	16	369	90	420	58	80	309	32	0	68	26	871	45	888	115	188	443	319	685	342	0
